Date dd/mm/yy,Slab Reference,Temperature (°C),Density (kg m-3),Grain size (mm),SSA   (m2 kg-1),Depth (cm),Homogenous
,,,,,,,
13/01/14,A01,-13.1,138,0.5,35.8,17.8,Yes
14/01/14,A02,-22.2,269,0.7,15.4,15.6,No
11/02/14,A03,-0.3,228,0.6,18,16.6,Yes
13/02/14,A04,-0.5,226,0.9,11.3,18,No
03/03/14,A05,-0.8,287,0.9,15.8,15.6,No
18/03/14,A06,-7.6,280,0.8,17.5,14.8,Yes
20/03/14,A07,-5.1,285,0.9,15.5,14.8,No
02/02/15,B01,-13.2,140,0.5,36.4,14.8,Yes
05/02/15,B02,-10.9,160,0.5,36.4,13.9,Yes
19/02/15,B03,-2.6,234,0.6,22.8,14.9,Yes
11/03/15,B04,-5.4,268,1.1,21.2,16.2,Yes
12/03/15,B05,-3.2,337,1.9,10.3,5.4,Yes
24/03/15,B06,-5.4,317,1.3,17.3,14.5,Yes
25/03/15,B07,-3.7,283,2,9.4,15.2,No